ids,labels,parents,sector_color,app_ids,app_labels,app_parents,app_color,,node_label,node_color,link_source,link_target,link_label,link_color,value,app_description,sector_description
cec,Customer Engagement and Channel,,deepskyblue,cec-ep-siw,Sembcorp Internet Website/Corporate Website v. 1.0,cec-ep,lightyellow,,Trade Information Reporting Systems v. 1,sandybrown,0,1,Flat File,sandybrown,1,Sembcorp Internet Website/Corporate Website v. 1.0,Customer Engagement and Channel
cec-ep,External Portal,cec,skyblue,cec-ep-wcm,Website Content Management System v. 1.0,cec-ep,lightyellow,,CSLUCAS v. 1,sandybrown,2,3,,sandybrown,1,Website Content Management System v. 1.0: Content Management for Sembcorp Internet Website,External Portal
cec-cap,Customer Account Portal,cec,skyblue,cec-cmi-crm,Customer Relations Management (SWM Call Centre) v. 1,cec-cmi,lightyellow,,Process History Data v. 1.0,crimson,4,2,Custom Connector (SQL),crimson,1,"Customer Relations Management (SWM Call Centre) v. 1: SembWaste's management system for customer's calls, complains and new service requests.",Customer Account Portal
cec-cic,Customer Interaction Channel,cec,skyblue,rco-co-sales-cre,Creams v. 3.19.09.26,rco-co-sales,lightyellow,,Sakra Cogen - DCS v. 1.0,crimson,2,5,,crimson,1,Creams v. 3.19.09.26,Customer Interaction Channel
cec-cam,Customer Applications and Mobile,cec,skyblue,rco-co-sales-pms,Property Management System (Mysoft) v. 3.0.7,rco-co-sales,lightyellow,,Sakra SUT - DCS v. TPS3000,crimson,6,7,Custom Connector,crimson,1,Property Management System (Mysoft) v. 3.0.7,Customer Applications and Mobile
cec-cmi,Call Management & IVR,cec,skyblue,rco-co-sales-sf,Salesforce v. 1,rco-co-sales,lightyellow,,ETAPRO,crimson,8,7,Custom Connector,crimson,1,Salesforce v. 1,Call Management & IVR
cec-smm,Social Media Management,cec,skyblue,rco-co-bm-siw,Sembcorp Internet Website/Corporate Website v. 1.0,rco-co-bm,lightyellow,,Wonderware Historian,crimson,10,9,Batch (SQL),peru,1,Sembcorp Internet Website/Corporate Website v. 1.0,Social Media Management
cec-pcg,Payment Channels & Gateway,cec,skyblue,rco-cuo-crm-cms1,Contact Management System v. 1.0,rco-cuo-crm,lightyellow,,LGAMS v. 10.4.5.1,crimson,9,11,Shared DB (SQL),peru,1,"Contact Management System v. 1.0: To keep track of all information pertaining to investor companies, contacts, correspondence & meeting and to generate reports and meeting statistics",Payment Channels & Gateway
cec-pcg,Partner Channels,cec,skyblue,rco-cuo-crm-cms2,Contact Management System v. 1.1,rco-cuo-crm,lightyellow,,UMIS 1.0,crimson,13,12,API,peru,1,"Contact Management System v. 1.1: To keep track of all information pertaining to investor companies, contacts, correspondence & meeting and to generate reports and meeting statistics",Partner Channels
rco,Retail and Commercial Operations,,navy,rco-cuo-crm-cub,Customer Utility Billing & Experience Management v. 1.0,rco-cuo-crm,lightyellow,,Employee Common Database v. 1.0,peru,2,14,API,crimson,1,Customer Utility Billing & Experience Management v. 1.0: Customer Management and billing system for Sembcorp OEM Customers (Resi and SME),Retail and Commercial Operations
rco-co,Commercial Operations,rco,mediumblue,rco-cuo-crm-sf,Salesforce v. 1,rco-cuo-crm,lightyellow,,SAP HCM v. SAP ERP 6.0 EhP8,peru,17,16,Manual,royalblue,1,Salesforce v. 1,Commercial Operations
rco-co-sales,Sales,rco-co,royalblue,rco-cuo-ccm-cub,Customer Utility Billing & Experience Management v. 1.0,rco-cuo-ccm,lightyellow,,Resource Tracking System v. 1.0,cyan,17,18,Batch (CSV),royalblue,1,Customer Utility Billing & Experience Management v. 1.0: Customer Management and billing system for Sembcorp OEM Customers (Resi and SME),Sales
rco-co-ma,Market Analysis,rco-co,royalblue,rco-cuo-bi-cms1,Customer Management System v. 7.5,rco-cuo-bi,lightyellow,,SAP ASP v. 1.0,brown,19,17,,teal,1,"Customer Management System v. 7.5: Customer Management and billing system for following entitie's C&I customers - Power, Gas, SUT, Solar",Market Analysis
rco-co-pricing,Pricing,rco-co,royalblue,de-int-int-mi-ntuc,NTUC,de-int-int-mi,lightyellow,,SAP FICO v. SAP ERP 6.0 EhP8,peru,17,13,,royalblue,1,NTUC Gateway,Pricing
rco-co-qm,Quotation Management,rco-co,royalblue,rco-cuo-bi-cub,Customer Utility Billing & Experience Management v. 1.0,rco-cuo-bi,lightyellow,,Data Lake,olivedrab,20,21,Shared DB (SQL),sandybrown,1,Customer Utility Billing & Experience Management v. 1.0: Customer Management and billing system for Sembcorp OEM Customers (Resi and SME),Quotation Management
rco-co-bm,Brand Marketing,rco-co,royalblue,rco-cuo-bi-ibms,IBMS (Integrated Billing Management System) v. 1,rco-cuo-bi,lightyellow,,Customer Management System Web v. 7.5,royalblue,20,17,Shared DB (SQL),sandybrown,1,"Integrated Billing Management System: IBMS consists of Contracts, Sales, Service Orders, Trips Tagging and Billing Management modules for Environmental business",Brand Marketing
rco-co-pdc,Product Development and Configuration,rco-co,royalblue,rco-cuo-bi-mis1,MIS 2.0  v. 2.0,rco-cuo-bi,lightyellow,,Citibank File Uploader (External),teal,20,0,Shared DB (SQL),sandybrown,1,MIS 2.0  v. 2.0,Product Development and Configuration
rco-co-pm,Product Management,rco-co,royalblue,rco-cuo-bi-mis2,MIS 3.0  (Pufeite) v. 3.0,rco-cuo-bi,lightyellow,,Customer Management System v. 7.5,royalblue,22,14,API / WS,olivedrab,1,MIS 3.0  (Pufeite) v. 3.0,Product Management
rco-cuo,Customer Operations,rco,mediumblue,rco-cuo-bi-nab,"Nomination, Allocation Billing System v. 1",rco-cuo-bi,lightyellow,,Giro,blue,57,113,WS (REST),royalblue,1,"Nomination, Allocation Billing System v. 1: Gas Nomination, Allocation and Billing System for SembGas.",Customer Operations
rco-cuo-cam,Customer Account Management,rco-cuo,royalblue,rco-cuo-pc-cub,Customer Utility Billing & Experience Management v. 1.0,rco-cuo-pc,lightyellow,,External - AXS 1.0,teal,2,24,WS (XML),crimson,1,Customer Utility Billing & Experience Management v. 1.0: Customer Management and billing system for Sembcorp OEM Customers (Resi and SME),Customer Account Management
rco-cuo-mdm,Meter Data Management,rco-cuo,royalblue,rco-es-rec-ss,Solar Data DB,rco-es-rec,lightyellow,,Electronic Business Transaction v. 1,sandybrown,23,13,Flat File,royalblue,1,Solar System v. 1: To send and receive PSO per minute file. To create new Solar site for sending files,Meter Data Management
rco-cuo-crm,Customer Relationship Management,rco-cuo,royalblue,mer-fo-tools-risk,RISK v. 7.6.0,mer-fo-tools,lightyellow,,Settlement v. 1,sandybrown,23,25,WS (XML),royalblue,1,RISK v. 7.6.0,Customer Relationship Management
rco-cuo-ccm,Case & Complaints Management,rco-cuo,royalblue,mer-mo-cm-cub,Customer Utility Billing & Experience Management v. 1.0,mer-mo-cm,lightyellow,,VBR,olivedrab,23,26,Shared DB (SQL),royalblue,1,Customer Utility Billing & Experience Management v. 1.0: Customer Management and billing system for Sembcorp OEM Customers (Resi and SME),Case & Complaints Management
rco-cuo-bi,Billing & Invoicing,rco-cuo,royalblue,mer-mo-cm-ibms,IBMS (Integrated Billing Management System) v. 1,mer-mo-cm,lightyellow,,IBMS (Integrated Billing Management System) v. 1,royalblue,25,27,API / WS,crimson,1,"Integrated Billing Management System: IBMS consists of Contracts, Sales, Service Orders, Trips Tagging and Billing Management modules for Environmental business",Billing & Invoicing
rco-cuo-nba,Next Best Action,rco-cuo,royalblue,mer-mo-cm-sf,Salesforce v. 1,mer-mo-cm,lightyellow,,Weighbridge Information System,crimson,10,28,Shared DB (SQL),peru,1,Salesforce v. 1,Next Best Action
rco-cuo-pc,Payments & Collections,rco-cuo,royalblue,mer-mo-cm-sft,Salesforce-TIRS  Intergration Webservices v. 1.0,mer-mo-cm,lightyellow,,Integrated Waste Information System (IWIS) v. 1,crimson,10,29,API / WS,peru,1,Salesforce-TIRS  Intergration Webservices v. 1.0,Payments & Collections
rco-cuo-lm,Loyalty Management,rco-cuo,royalblue,mer-mo-cm-tirs,Trade Information Reporting Systems v. 1,mer-mo-cm,lightyellow,,Customer Relations Management (SWM Call Centre) v. 1,skyblue,30,3,,wheat,1,Trade Information Reporting Systems v. 1: An application to allow traders to upload deal tickets information for verification by Finance and to print Settlement and Mark to Mark reports and export trade detail to Infinax,Loyalty Management
rco-es,Energy Services,rco,mediumblue,mer-bo-ss-mcm,EMC Extract Monitoring System v. 1,mer-bo-ss,lightyellow,,Compactor Management Mobile App v. 1,crimson,31,2,WS (XML),crimson,1,"EMC Extract Monitoring System v. 1: An application to allow users to create new reports, and Invoice task and schedule it. It also allow user to monitor the schedule task status.",Energy Services
rco-es-pc,Price Comparison,rco-es,royalblue,mer-bo-trc-tirs,Trade Information Reporting Systems v. 1,mer-bo-trc,lightyellow,,TMS (Time Management System) v. 1,peru,32,2,API,crimson,1,Trade Information Reporting Systems v. 1: An application to allow traders to upload deal tickets information for verification by Finance and to print Settlement and Mark to Mark reports and export trade detail to Infinax,Price Comparison
rco-es-edh,Energy Data Hub,rco-es,royalblue,mer-bo-ers-ebt,Electronic Business Transaction v. 1,mer-bo-ers,lightyellow,,HR Self-service Kiosk v. 1,peru,33,34,API / WS (XML),crimson,1,Electronic Business Transaction v. 1: To send and receive MSSL message via SONIC MQ Broker,Energy Data Hub
rco-es-mp,Market Place Peer to Peer,rco-es,royalblue,mer-bo-ers-settle,Settlement v. 1,mer-bo-ers,lightyellow,,EMC Extract Monitoring System v. 1,wheat,36,35,API / WS (JSON),lightslategray,1,"Settlement v. 1: PSS is used by the Settlement team to verify the monthly usages and charges of EMC, MSSL and Sembcorp Cogen. The team reviews and performs necessary follow-up on variances from Settlement reports generated",Market Place Peer to Peer
rco-es-shb,Smart Home Building Management,rco-es,royalblue,mer-bo-ers-tirs,Trade Information Reporting Systems v. 1,mer-bo-ers,lightyellow,,Storage & Terminalling,crimson,37,38,API,teal,1,Trade Information Reporting Systems v. 1: An application to allow traders to upload deal tickets information for verification by Finance and to print Settlement and Mark to Mark reports and export trade detail to Infinax,Smart Home Building Management
rco-es-rec,Renewable Energy Certificates,rco-es,royalblue,mer-bo-tms-slu,CSLUCAS v. 1,mer-bo-tms,lightyellow,,Laboratory Information Management System,crimson,39,40,Shared DB (SQL),peru,1,"CSLUCAS v. 1: CS Lucas (formerly known as Infinax) is a treasury management system (TMS) integrating front-, middle- and back-offices through a single integrated portal.",Renewable Energy Certificates
rco-es-cem,Customer Energy Management,rco-es,royalblue,mer-bo-fpr-nas,Non-Audit Services Report Consolidation v. 1.0,mer-bo-fpr,lightyellow,,GEO Information System,crimson,41,42,API (JSON),lightslategray,1,Non-Audit Services Report Consolidation v. 1.0: A system used by Group Reporting & Policies and BU Finance for Non Audit Services reporting consolidation,Customer Energy Management
mer,Merchant,,tan,aomo-aop-eam-iwf,Integrated Waste Information System (IWIS) v. 1,aomo-aop-eam,lightyellow,,SAP PM v. SAP ERP 6.0 EhP8,crimson,41,43,API,lightslategray,1,"Integrated Waste Information System (IWIS) v. 1: An intranet portal with modules for Route Management, Compactor Management, Fleet Management, Tonnage Management and Dashboard Alerts to support the Environmental business",Merchant
mer-fo,Front Office,mer,sandybrown,aomo-aop-eam-sap,SAP PM v. SAP ERP 6.0 EhP8,aomo-aop-eam,lightyellow,,Workato,teal,41,10,API,lightslategray,1,"SAP PM v. SAP ERP 6.0 EhP8: PM is the Plant Maintenance module. It includes the following functions - Maintenance Processing, Work Clearance Management, Preventive Maintenance",Front Office
mer-fo-etrm,Energy Trading & Risk Management (ETRM),mer-fo,wheat,aomo-aop-eam-tdd,Turbine Data Downloader v. 2.0.0,aomo-aop-eam,lightyellow,,Jira Software v. 1,lightslategray,13,44,Flat File,peru,1,Turbine Data Downloader v. 2.0.0,Energy Trading & Risk Management (ETRM)
mer-fo-tds,Trading Decision Support Tools,mer-fo,wheat,aomo-aop-hist-phd,Process History Data v. 1.0,aomo-aop-hist,lightyellow,,SGX Live Feed,teal,13,45,API,peru,1,Process History Data v. 1.0: Allows data to be gathered from the various DCS and other data sources at the plant into the PHD database for long-term storage for performance analysis,Trading Decision Support Tools
mer-fo-tools,Market Modelling Tools,mer-fo,wheat,aomo-aop-hist-tdd,Turbine Data Downloader v. 2.0.0,aomo-aop-hist,lightyellow,,Sembcorp Internet Website/Corporate Website v. 1.0,yellow,13,46,Flat File,peru,1,Turbine Data Downloader v. 2.0.0,Market Modelling Tools
mer-fo-mia,Market Intelligence and Analysis,mer-fo,wheat,aomo-aop-hist-wpm,Water Plant Management System v. 1.0,aomo-aop-hist,lightyellow,,Sembcorp Secure Mobile App v. 1.3,peru,43,47,API / WS,peru,1,Water Plant Management System v. 1.0,Market Intelligence and Analysis
mer-mo,Middle Office,mer,sandybrown,aomo-aop-dcs-ban,Banyan CCP3 - DCS v. 1.0,aomo-aop-dcs,lightyellow,,Sembcorp Secure App - Backend Administrative Portal v. 1.0,peru,43,48,Custom Connector,peru,1,Banyan CCP3 - DCS v. 1.0,Middle Office
mer-mo-cm,Contract Management,mer-mo,wheat,aomo-aop-dcs-bay,Bayan WWTP - DCS v. NA,aomo-aop-dcs,lightyellow,,SAP Approval Mobile App System - Sembcorp Approval 3.0 v. 2.1,lightslategray,48,35,API,teal,1,Bayan WWTP - DCS v. NA,Contract Management
mer-mo-pm,Position Management,mer-mo,wheat,aomo-aop-dcs-efw,EFW - DCS v. NA,aomo-aop-dcs,lightyellow,,SAP VIM v. 7.5,peru,10,48,Custom Connector,peru,1,EFW - DCS v. NA,Position Management
mer-mo-mf,Market Forecasting,mer-mo,wheat,aomo-aop-dcs-ncip,NCIP Water - DCS v. XDC800,aomo-aop-dcs,lightyellow,,SAP MM v. SAP ERP 6.0 EhP8,peru,42,48,Custom Connector,teal,1,NCIP Water - DCS v. XDC800,Market Forecasting
mer-mo-to,Trade Optimisation,mer-mo,wheat,aomo-aop-dcs-nss,NSS - DCS v. XDC800,aomo-aop-dcs,lightyellow,,Cognos Controller v. 10.3.1,crimson,10,50,WS (XML),peru,1,NSS - DCS v. XDC800,Trade Optimisation
